,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
184,218,ALDH3A1,ALDH3|ALDHIII,MIM:100660|HGNC:HGNC:405|Ensembl:ENSG00000108602,17,17p11.2,aldehyde dehydrogenase 3 family member A1,protein-coding
185,219,ALDH1B1,ALDH5|ALDHX,MIM:100670|HGNC:HGNC:407|Ensembl:ENSG00000137124,9,9p13.1,aldehyde dehydrogenase 1 family member B1,protein-coding
186,220,ALDH1A3,ALDH1A6|ALDH6|MCOP8|RALDH3,MIM:600463|HGNC:HGNC:409|Ensembl:ENSG00000184254,15,15q26.3,aldehyde dehydrogenase 1 family member A3,protein-coding
187,221,ALDH3B1,ALDH4|ALDH7,MIM:600466|HGNC:HGNC:410|Ensembl:ENSG00000006534,11,11q13.2,aldehyde dehydrogenase 3 family member B1,protein-coding
188,222,ALDH3B2,ALDH8,MIM:601917|HGNC:HGNC:411|Ensembl:ENSG00000132746,11,11q13.2,aldehyde dehydrogenase 3 family member B2,protein-coding
189,223,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH,MIM:602733|HGNC:HGNC:412|Ensembl:ENSG00000143149,1,1q24.1,aldehyde dehydrogenase 9 family member A1,protein-coding
190,224,ALDH3A2,ALDH10|FALDH|SLS,MIM:609523|HGNC:HGNC:403|Ensembl:ENSG00000072210,17,17p11.2,aldehyde dehydrogenase 3 family member A2,protein-coding
191,225,ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR,MIM:601081|HGNC:HGNC:66|Ensembl:ENSG00000173208,12,12q12,ATP binding cassette subfamily D member 2,protein-coding
192,226,ALDOA,ALDA|GSD12|HEL-S-87p,MIM:103850|HGNC:HGNC:414|Ensembl:ENSG00000149925,16,16p11.2,"aldolase, fructose-bisphosphate A",protein-coding
194,229,ALDOB,ALDB|ALDO2,MIM:612724|HGNC:HGNC:417|Ensembl:ENSG00000136872,9,9q31.1,"aldolase, fructose-bisphosphate B",protein-coding
195,230,ALDOC,ALDC,MIM:103870|HGNC:HGNC:418|Ensembl:ENSG00000109107,17,17q11.2,"aldolase, fructose-bisphosphate C",protein-coding
196,231,AKR1B1,ADR|ALDR1|ALR2|AR,MIM:103880|HGNC:HGNC:381|Ensembl:ENSG00000085662,7,7q33,aldo-keto reductase family 1 member B,protein-coding
198,238,ALK,CD246|NBLST3,MIM:105590|HGNC:HGNC:427|Ensembl:ENSG00000171094,2,2p23.2-p23.1,ALK receptor tyrosine kinase,protein-coding
199,239,ALOX12,12-LOX|12S-LOX|LOG12,MIM:152391|HGNC:HGNC:429|Ensembl:ENSG00000108839,17,17p13.1,"arachidonate 12-lipoxygenase, 12S type",protein-coding
200,240,ALOX5,5-LO|5-LOX|5LPG|LOG5,MIM:152390|HGNC:HGNC:435|Ensembl:ENSG00000012779,10,10q11.21,arachidonate 5-lipoxygenase,protein-coding
201,241,ALOX5AP,FLAP,MIM:603700|HGNC:HGNC:436|Ensembl:ENSG00000132965,13,13q12.3,arachidonate 5-lipoxygenase activating protein,protein-coding
202,242,ALOX12B,12R-LOX|ARCI2,MIM:603741|HGNC:HGNC:430|Ensembl:ENSG00000179477,17,17p13.1,"arachidonate 12-lipoxygenase, 12R type",protein-coding
205,246,ALOX15,12-LOX|15-LOX|15-LOX-1|LOG15,MIM:152392|HGNC:HGNC:433|Ensembl:ENSG00000161905,17,17p13.2,arachidonate 15-lipoxygenase,protein-coding
206,247,ALOX15B,15-LOX-2,MIM:603697|HGNC:HGNC:434|Ensembl:ENSG00000179593,17,17p13.1,arachidonate 15-lipoxygenase type B,protein-coding
207,248,ALPI,IAP,MIM:171740|HGNC:HGNC:437|Ensembl:ENSG00000163295,2,2q37.1,"alkaline phosphatase, intestinal",protein-coding
208,249,ALPL,AP-TNAP|APTNAP|HOPS|TNALP|TNAP|TNSALP,MIM:171760|HGNC:HGNC:438|Ensembl:ENSG00000162551,1,1p36.12,"alkaline phosphatase, biomineralization associated",protein-coding
209,250,ALPP,ALP|ALPI|IAP|PALP|PLAP|PLAP-1,MIM:171800|HGNC:HGNC:439|Ensembl:ENSG00000163283,2,2q37.1,"alkaline phosphatase, placental",protein-coding
210,251,ALPG,ALPPL|ALPPL2|GCAP,MIM:171810|HGNC:HGNC:441|Ensembl:ENSG00000163286,2,2q37.1,"alkaline phosphatase, germ cell",protein-coding
212,257,ALX3,FND|FND1,MIM:606014|HGNC:HGNC:449|Ensembl:ENSG00000156150,1,1p13.3,ALX homeobox 3,protein-coding
213,258,AMBN,AI1F,MIM:601259|HGNC:HGNC:452|Ensembl:ENSG00000178522,4,4q13.3,ameloblastin,protein-coding
214,259,AMBP,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI,MIM:176870|HGNC:HGNC:453|Ensembl:ENSG00000106927,9,9q32,alpha-1-microglobulin/bikunin precursor,protein-coding
216,262,AMD1,ADOMETDC|AMD|SAMDC,MIM:180980|HGNC:HGNC:457|Ensembl:ENSG00000123505,6,6q21,adenosylmethionine decarboxylase 1,protein-coding
218,265,AMELX,AI1E|AIH1|ALGN|AMG|AMGL|AMGX,MIM:300391|HGNC:HGNC:461|Ensembl:ENSG00000125363,X,Xp22.2,amelogenin X-linked,protein-coding
219,266,AMELY,AMGL|AMGY,MIM:410000|HGNC:HGNC:462|Ensembl:ENSG00000099721,Y,Yp11.2,amelogenin Y-linked,protein-coding
220,267,AMFR,GP78|RNF45,MIM:603243|HGNC:HGNC:463|Ensembl:ENSG00000159461,16,16q13,autocrine motility factor receptor,protein-coding
221,268,AMH,MIF|MIS,MIM:600957|HGNC:HGNC:464|Ensembl:ENSG00000104899,19,19p13.3,anti-Mullerian hormone,protein-coding
222,269,AMHR2,AMHR|MISR2|MISRII|MRII,MIM:600956|HGNC:HGNC:465|Ensembl:ENSG00000135409,12,12q13.13,anti-Mullerian hormone receptor type 2,protein-coding
223,270,AMPD1,MAD|MADA|MMDD,MIM:102770|HGNC:HGNC:468|Ensembl:ENSG00000116748,1,1p13.2,adenosine monophosphate deaminase 1,protein-coding
224,271,AMPD2,PCH9|SPG63,MIM:102771|HGNC:HGNC:469|Ensembl:ENSG00000116337,1,1p13.3,adenosine monophosphate deaminase 2,protein-coding
225,272,AMPD3,-,MIM:102772|HGNC:HGNC:470|Ensembl:ENSG00000133805,11,11p15.4,adenosine monophosphate deaminase 3,protein-coding
226,273,AMPH,AMPH1,MIM:600418|HGNC:HGNC:471|Ensembl:ENSG00000078053,7,7p14.1,amphiphysin,protein-coding
227,274,BIN1,AMPH2|AMPHL|CNM2|SH3P9,MIM:601248|HGNC:HGNC:1052|Ensembl:ENSG00000136717,2,2q14.3,bridging integrator 1,protein-coding
228,275,AMT,GCE|GCST|GCVT|NKH,MIM:238310|HGNC:HGNC:473|Ensembl:ENSG00000145020,3,3p21.31,aminomethyltransferase,protein-coding
229,276,AMY1A,AMY1,MIM:104700|HGNC:HGNC:474|Ensembl:ENSG00000237763,1,1p21.1,amylase alpha 1A,protein-coding
230,277,AMY1B,AMY1,MIM:104701|HGNC:HGNC:475|Ensembl:ENSG00000174876,1,1p21.1,amylase alpha 1B,protein-coding
231,278,AMY1C,AMY1,MIM:104702|HGNC:HGNC:476|Ensembl:ENSG00000187733,1,1p21.1,amylase alpha 1C,protein-coding
232,279,AMY2A,AMY2|PA,MIM:104650|HGNC:HGNC:477|Ensembl:ENSG00000243480,1,1p21.1,amylase alpha 2A,protein-coding
233,280,AMY2B,AMY2|AMY3|HXA,MIM:104660|HGNC:HGNC:478|Ensembl:ENSG00000240038,1,1p21.1,amylase alpha 2B,protein-coding
236,283,ANG,ALS9|HEL168|RAA1|RNASE4|RNASE5,MIM:105850|HGNC:HGNC:483|Ensembl:ENSG00000214274,14,14q11.2,angiogenin,protein-coding
237,284,ANGPT1,AGP1|AGPT|ANG1,MIM:601667|HGNC:HGNC:484|Ensembl:ENSG00000154188,8,8q23.1,angiopoietin 1,protein-coding
238,285,ANGPT2,AGPT2|ANG2,MIM:601922|HGNC:HGNC:485|Ensembl:ENSG00000091879,8,8p23.1,angiopoietin 2,protein-coding
239,286,ANK1,ANK|SPH1|SPH2,MIM:612641|HGNC:HGNC:492|Ensembl:ENSG00000029534,8,8p11.21,ankyrin 1,protein-coding
240,287,ANK2,ANK-2|LQT4|brank-2,MIM:106410|HGNC:HGNC:493|Ensembl:ENSG00000145362,4,4q25-q26,ankyrin 2,protein-coding
241,288,ANK3,ANKYRIN-G|MRT37,MIM:600465|HGNC:HGNC:494|Ensembl:ENSG00000151150,10,10q21.2,ankyrin 3,protein-coding
243,290,ANPEP,APN|CD13|GP150|LAP1|P150|PEPN,MIM:151530|HGNC:HGNC:500|Ensembl:ENSG00000166825,15,15q26.1,"alanyl aminopeptidase, membrane",protein-coding
244,291,SLC25A4,AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1,MIM:103220|HGNC:HGNC:10990|Ensembl:ENSG00000151729,4,4q35.1,solute carrier family 25 member 4,protein-coding
245,292,SLC25A5,2F1|AAC2|ANT2|T2|T3,MIM:300150|HGNC:HGNC:10991|Ensembl:ENSG00000005022,X,Xq24,solute carrier family 25 member 5,protein-coding
246,293,SLC25A6,AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y,MIM:300151|MIM:403000|HGNC:HGNC:10992|Ensembl:ENSG00000169100,X|Y,Xp22.33 and Yp11.2,solute carrier family 25 member 6,protein-coding
247,301,ANXA1,ANX1|LPC1,MIM:151690|HGNC:HGNC:533|Ensembl:ENSG00000135046,9,9q21.13,annexin A1,protein-coding
248,302,ANXA2,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV,MIM:151740|HGNC:HGNC:537|Ensembl:ENSG00000182718,15,15q22.2,annexin A2,protein-coding
250,304,ANXA2P2,ANX2L2|ANX2P2|LPC2B,HGNC:HGNC:539,9,9p13.3,annexin A2 pseudogene 2,pseudo
252,306,ANXA3,ANX3,MIM:106490|HGNC:HGNC:541|Ensembl:ENSG00000138772,4,4q21.21,annexin A3,protein-coding
253,307,ANXA4,ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36,MIM:106491|HGNC:HGNC:542|Ensembl:ENSG00000196975,2,2p13.3,annexin A4,protein-coding
254,308,ANXA5,ANX5|ENX2|HEL-S-7|PP4|RPRGL3,MIM:131230|HGNC:HGNC:543|Ensembl:ENSG00000164111,4,4q27,annexin A5,protein-coding
255,309,ANXA6,ANX6|CBP68|CPB-II|p68|p70,MIM:114070|HGNC:HGNC:544|Ensembl:ENSG00000197043,5,5q33.1,annexin A6,protein-coding
256,310,ANXA7,ANX7|SNX|SYNEXIN,MIM:186360|HGNC:HGNC:545|Ensembl:ENSG00000138279,10,10q22.2,annexin A7,protein-coding
257,311,ANXA11,ALS23|ANX11|CAP-50|CAP50,MIM:602572|HGNC:HGNC:535|Ensembl:ENSG00000122359,10,10q22.3,annexin A11,protein-coding
258,312,ANXA13,ANX13|ISA,MIM:602573|HGNC:HGNC:536|Ensembl:ENSG00000104537,8,8q24.13,annexin A13,protein-coding
259,313,AOAH,-,MIM:102593|HGNC:HGNC:548|Ensembl:ENSG00000136250,7,7p14.2,acyloxyacyl hydrolase,protein-coding
260,314,AOC2,DAO2|RAO|SSAO,MIM:602268|HGNC:HGNC:549|Ensembl:ENSG00000131480,17,17q21.31,amine oxidase copper containing 2,protein-coding
261,316,AOX1,AO|AOH1,MIM:602841|HGNC:HGNC:553|Ensembl:ENSG00000138356,2,2q33.1,aldehyde oxidase 1,protein-coding
262,317,APAF1,APAF-1|CED4,MIM:602233|HGNC:HGNC:576|Ensembl:ENSG00000120868,12,12q23.1,apoptotic peptidase activating factor 1,protein-coding
263,318,NUDT2,APAH1,MIM:602852|HGNC:HGNC:8049|Ensembl:ENSG00000164978,9,9p13.3,nudix hydrolase 2,protein-coding
264,319,APOF,Apo-F|LTIP,MIM:107760|HGNC:HGNC:615|Ensembl:ENSG00000175336,12,12q13.3,apolipoprotein F,protein-coding
265,320,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA,MIM:602414|HGNC:HGNC:578|Ensembl:ENSG00000107282,9,9q21.12,amyloid beta precursor protein binding family A member 1,protein-coding
266,321,APBA2,D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L,MIM:602712|HGNC:HGNC:579|Ensembl:ENSG00000034053,15,15q13.1,amyloid beta precursor protein binding family A member 2,protein-coding
267,322,APBB1,FE65|MGC:9072|RIR,MIM:602709|HGNC:HGNC:581|Ensembl:ENSG00000166313,11,11p15.4,amyloid beta precursor protein binding family B member 1,protein-coding
268,323,APBB2,FE65L|FE65L1,MIM:602710|HGNC:HGNC:582|Ensembl:ENSG00000163697,4,4p14-p13,amyloid beta precursor protein binding family B member 2,protein-coding
269,324,APC,BTPS2|DP2|DP2.5|DP3|GS|PPP1R46,MIM:611731|HGNC:HGNC:583|Ensembl:ENSG00000134982,5,5q22.2,APC regulator of WNT signaling pathway,protein-coding
270,325,APCS,HEL-S-92n|PTX2|SAP,MIM:104770|HGNC:HGNC:584|Ensembl:ENSG00000132703,1,1q23.2,"amyloid P component, serum",protein-coding
271,326,AIRE,AIRE1|APECED|APS1|APSI|PGA1,MIM:607358|HGNC:HGNC:360|Ensembl:ENSG00000160224,21,21q22.3,autoimmune regulator,protein-coding
272,327,APEH,AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH,MIM:102645|HGNC:HGNC:586|Ensembl:ENSG00000164062,3,3p21.31,acylaminoacyl-peptide hydrolase,protein-coding
273,328,APEX1,APE|APE1|APEN|APEX|APX|HAP1|REF1,MIM:107748|HGNC:HGNC:587|Ensembl:ENSG00000100823,14,14q11.2,apurinic/apyrimidinic endodeoxyribonuclease 1,protein-coding
274,329,BIRC2,API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1,MIM:601712|HGNC:HGNC:590|Ensembl:ENSG00000110330,11,11q22.2,baculoviral IAP repeat containing 2,protein-coding
275,330,BIRC3,AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2,MIM:601721|HGNC:HGNC:591|Ensembl:ENSG00000023445,11,11q22.2,baculoviral IAP repeat containing 3,protein-coding
276,331,XIAP,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3,MIM:300079|HGNC:HGNC:592|Ensembl:ENSG00000101966,X,Xq25,X-linked inhibitor of apoptosis,protein-coding
277,332,BIRC5,API4|EPR-1,MIM:603352|HGNC:HGNC:593|Ensembl:ENSG00000089685,17,17q25.3,baculoviral IAP repeat containing 5,protein-coding
278,333,APLP1,APLP,MIM:104775|HGNC:HGNC:597|Ensembl:ENSG00000105290,19,19q13.12,amyloid beta precursor like protein 1,protein-coding
279,334,APLP2,APLP-2|APPH|APPL2|CDEBP,MIM:104776|HGNC:HGNC:598|Ensembl:ENSG00000084234,11,11q24.3,amyloid beta precursor like protein 2,protein-coding
280,335,APOA1,apo(a),MIM:107680|HGNC:HGNC:600|Ensembl:ENSG00000118137,11,11q23.3,apolipoprotein A1,protein-coding
281,336,APOA2,Apo-AII|ApoA-II|apoAII,MIM:107670|HGNC:HGNC:601|Ensembl:ENSG00000158874,1,1q23.3,apolipoprotein A2,protein-coding
282,337,APOA4,-,MIM:107690|HGNC:HGNC:602|Ensembl:ENSG00000110244,11,11q23.3,apolipoprotein A4,protein-coding
283,338,APOB,FCHL2|FLDB|LDLCQ4|apoB-100|apoB-48,MIM:107730|HGNC:HGNC:603|Ensembl:ENSG00000084674,2,2p24.1,apolipoprotein B,protein-coding
284,339,APOBEC1,APOBEC-1|BEDP|CDAR1|HEPR,MIM:600130|HGNC:HGNC:604|Ensembl:ENSG00000111701,12,12p13.31,apolipoprotein B mRNA editing enzyme catalytic subunit 1,protein-coding
285,341,APOC1,Apo-CI|ApoC-I|apo-CIB|apoC-IB,MIM:107710|HGNC:HGNC:607|Ensembl:ENSG00000130208,19,19q13.32,apolipoprotein C1,protein-coding
286,342,APOC1P1,-,HGNC:HGNC:608|Ensembl:ENSG00000214855,19,19q13.32,apolipoprotein C1 pseudogene 1,pseudo
287,343,AQP8,AQP-8,MIM:603750|HGNC:HGNC:642|Ensembl:ENSG00000103375,16,16p12.1,aquaporin 8,protein-coding
288,344,APOC2,APO-CII|APOC-II,MIM:608083|HGNC:HGNC:609|Ensembl:ENSG00000234906,19,19q13.32,apolipoprotein C2,protein-coding
289,345,APOC3,APOCIII,MIM:107720|HGNC:HGNC:610|Ensembl:ENSG00000110245,11,11q23.3,apolipoprotein C3,protein-coding
290,346,APOC4,APO-CIV|APOC-IV,MIM:600745|HGNC:HGNC:611|Ensembl:ENSG00000267467,19,19q13.32,apolipoprotein C4,protein-coding
291,347,APOD,-,MIM:107740|HGNC:HGNC:612|Ensembl:ENSG00000189058,3,3q29,apolipoprotein D,protein-coding
292,348,APOE,AD2|APO-E|ApoE4|LDLCQ5|LPG,MIM:107741|HGNC:HGNC:613|Ensembl:ENSG00000130203,19,19q13.32,apolipoprotein E,protein-coding
293,350,APOH,B2G1|B2GP1|BG,MIM:138700|HGNC:HGNC:616|Ensembl:ENSG00000091583,17,17q24.2,apolipoprotein H,protein-coding
294,351,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4,MIM:104760|HGNC:HGNC:620|Ensembl:ENSG00000142192,21,21q21.3,amyloid beta precursor protein,protein-coding
295,353,APRT,AMP|APRTD,MIM:102600|HGNC:HGNC:626|Ensembl:ENSG00000198931,16,16q24.3,adenine phosphoribosyltransferase,protein-coding
296,354,KLK3,APS|KLK2A1|PSA|hK3,MIM:176820|HGNC:HGNC:6364|Ensembl:ENSG00000142515,19,19q13.33,kallikrein related peptidase 3,protein-coding
297,355,FAS,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6,MIM:134637|HGNC:HGNC:11920|Ensembl:ENSG00000026103,10,10q23.31,Fas cell surface death receptor,protein-coding
298,356,FASLG,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A,MIM:134638|HGNC:HGNC:11936|Ensembl:ENSG00000117560,1,1q24.3,Fas ligand,protein-coding
299,357,SHROOM2,APXL|HSAPXL,MIM:300103|HGNC:HGNC:630|Ensembl:ENSG00000146950,X,Xp22.2,shroom family member 2,protein-coding
300,358,AQP1,AQP-CHIP|CHIP28|CO,MIM:107776|HGNC:HGNC:633|Ensembl:ENSG00000240583,7,7p14.3,aquaporin 1 (Colton blood group),protein-coding
301,359,AQP2,AQP-CD|WCH-CD,MIM:107777|HGNC:HGNC:634|Ensembl:ENSG00000167580,12,12q13.12,aquaporin 2,protein-coding
302,360,AQP3,AQP-3|GIL,MIM:600170|HGNC:HGNC:636|Ensembl:ENSG00000165272,9,9p13.3,aquaporin 3 (Gill blood group),protein-coding
303,361,AQP4,MIWC|WCH4,MIM:600308|HGNC:HGNC:637|Ensembl:ENSG00000171885,18,18q11.2,aquaporin 4,protein-coding
304,362,AQP5,AQP-5|PPKB,MIM:600442|HGNC:HGNC:638|Ensembl:ENSG00000161798,12,12q13.12,aquaporin 5,protein-coding
305,363,AQP6,AQP2L|KID,MIM:601383|HGNC:HGNC:639|Ensembl:ENSG00000086159,12,12q13.12,aquaporin 6,protein-coding
306,364,AQP7,AQP7L|AQPap|GLYCQTL,MIM:602974|HGNC:HGNC:640|Ensembl:ENSG00000165269,9,9p13.3,aquaporin 7,protein-coding
307,366,AQP9,AQP-9|HsT17287|SSC1|T17287,MIM:602914|HGNC:HGNC:643|Ensembl:ENSG00000103569,15,15q21.3,aquaporin 9,protein-coding
308,367,AR,AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM,MIM:313700|HGNC:HGNC:644|Ensembl:ENSG00000169083,X,Xq12,androgen receptor,protein-coding
309,368,ABCC6,ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7,MIM:603234|HGNC:HGNC:57|Ensembl:ENSG00000091262,16,16p13.11,ATP binding cassette subfamily C member 6,protein-coding
310,369,ARAF,A-RAF|ARAF1|PKS2|RAFA1,MIM:311010|HGNC:HGNC:646|Ensembl:ENSG00000078061,X,Xp11.3,"A-Raf proto-oncogene, serine/threonine kinase",protein-coding
311,372,ARCN1,COPD|SRMMD,MIM:600820|HGNC:HGNC:649|Ensembl:ENSG00000095139,11,11q23.3,archain 1,protein-coding
312,373,TRIM23,ARD1|ARFD1|RNF46,MIM:601747|HGNC:HGNC:660|Ensembl:ENSG00000113595,5,5q12.3,tripartite motif containing 23,protein-coding
313,374,AREG,AR|AREGB|CRDGF|SDGF,MIM:104640|HGNC:HGNC:651|Ensembl:ENSG00000109321,4,4q13.3,amphiregulin,protein-coding
314,375,ARF1,PVNH8,MIM:103180|HGNC:HGNC:652|Ensembl:ENSG00000143761,1,1q42.13,ADP ribosylation factor 1,protein-coding
315,377,ARF3,-,MIM:103190|HGNC:HGNC:654|Ensembl:ENSG00000134287,12,12q13.12,ADP ribosylation factor 3,protein-coding
316,378,ARF4,ARF2,MIM:601177|HGNC:HGNC:655|Ensembl:ENSG00000168374,3,3p14.3,ADP ribosylation factor 4,protein-coding
317,379,ARL4D,ARF4L|ARL6,MIM:600732|HGNC:HGNC:656|Ensembl:ENSG00000175906,17,17q21.31,ADP ribosylation factor like GTPase 4D,protein-coding
319,381,ARF5,-,MIM:103188|HGNC:HGNC:658|Ensembl:ENSG00000004059,7,7q32.1,ADP ribosylation factor 5,protein-coding
320,382,ARF6,-,MIM:600464|HGNC:HGNC:659|Ensembl:ENSG00000165527,14,14q21.3,ADP ribosylation factor 6,protein-coding
321,383,ARG1,-,MIM:608313|HGNC:HGNC:663|Ensembl:ENSG00000118520,6,6q23.2,arginase 1,protein-coding
322,384,ARG2,-,MIM:107830|HGNC:HGNC:664|Ensembl:ENSG00000081181,14,14q24.1,arginase 2,protein-coding
323,387,RHOA,ARH12|ARHA|RHO12|RHOH12,MIM:165390|HGNC:HGNC:667|Ensembl:ENSG00000067560,3,3p21.31,ras homolog family member A,protein-coding
324,388,RHOB,ARH6|ARHB|MST081|MSTP081|RHOH6,MIM:165370|HGNC:HGNC:668|Ensembl:ENSG00000143878,2,2p24.1,ras homolog family member B,protein-coding
325,389,RHOC,ARH9|ARHC|H9|RHOH9,MIM:165380|HGNC:HGNC:669|Ensembl:ENSG00000155366,1,1p13.2,ras homolog family member C,protein-coding
326,390,RND3,ARHE|Rho8|RhoE|memB,MIM:602924|HGNC:HGNC:671|Ensembl:ENSG00000115963,2,2q23.3,Rho family GTPase 3,protein-coding
327,391,RHOG,ARHG,MIM:179505|HGNC:HGNC:672|Ensembl:ENSG00000177105,11,11p15.4,ras homolog family member G,protein-coding
328,392,ARHGAP1,CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP,MIM:602732|HGNC:HGNC:673|Ensembl:ENSG00000175220,11,11p11.2,Rho GTPase activating protein 1,protein-coding
329,393,ARHGAP4,C1|RGC1|RhoGAP4|SrGAP4|p115,MIM:300023|HGNC:HGNC:674|Ensembl:ENSG00000089820,X,Xq28,Rho GTPase activating protein 4,protein-coding
330,394,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP,MIM:602680|HGNC:HGNC:675|Ensembl:ENSG00000100852,14,14q12,Rho GTPase activating protein 5,protein-coding
331,395,ARHGAP6,RHOGAP6|RHOGAPX-1,MIM:300118|HGNC:HGNC:676|Ensembl:ENSG00000047648,X,Xp22.2,Rho GTPase activating protein 6,protein-coding
332,396,ARHGDIA,GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1,MIM:601925|HGNC:HGNC:678|Ensembl:ENSG00000141522,17,17q25.3,Rho GDP dissociation inhibitor alpha,protein-coding
333,397,ARHGDIB,D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2,MIM:602843|HGNC:HGNC:679|Ensembl:ENSG00000111348,12,12p12.3,Rho GDP dissociation inhibitor beta,protein-coding
334,398,ARHGDIG,RHOGDI-3,MIM:602844|HGNC:HGNC:680|Ensembl:ENSG00000242173,16,16p13.3,Rho GDP dissociation inhibitor gamma,protein-coding
335,399,RHOH,ARHH|TTF,MIM:602037|HGNC:HGNC:686|Ensembl:ENSG00000168421,4,4p14,ras homolog family member H,protein-coding
336,400,ARL1,ARFL1,MIM:603425|HGNC:HGNC:692|Ensembl:ENSG00000120805,12,12q23.2,ADP ribosylation factor like GTPase 1,protein-coding
337,401,PHOX2A,ARIX|CFEOM2|FEOM2|NCAM2|PMX2A,MIM:602753|HGNC:HGNC:691|Ensembl:ENSG00000165462,11,11q13.4,paired like homeobox 2A,protein-coding
338,402,ARL2,ARFL2,MIM:601175|HGNC:HGNC:693|Ensembl:ENSG00000213465,11,11q13.1,ADP ribosylation factor like GTPase 2,protein-coding
339,403,ARL3,ARFL3|JBTS35|RP83,MIM:604695|HGNC:HGNC:694|Ensembl:ENSG00000138175,10,10q24.32,ADP ribosylation factor like GTPase 3,protein-coding
340,405,ARNT,HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2,MIM:126110|HGNC:HGNC:700|Ensembl:ENSG00000143437,1,1q21.3,aryl hydrocarbon receptor nuclear translocator,protein-coding
341,406,ARNTL,BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5,MIM:602550|HGNC:HGNC:701|Ensembl:ENSG00000133794,11,11p15.3,aryl hydrocarbon receptor nuclear translocator like,protein-coding
342,407,ARR3,ARRX|MYP26|cArr,MIM:301770|HGNC:HGNC:710|Ensembl:ENSG00000120500,X,Xq13.1,arrestin 3,protein-coding
343,408,ARRB1,ARB1|ARR1,MIM:107940|HGNC:HGNC:711|Ensembl:ENSG00000137486,11,11q13.4,arrestin beta 1,protein-coding
344,409,ARRB2,ARB2|ARR2|BARR2,MIM:107941|HGNC:HGNC:712|Ensembl:ENSG00000141480,17,17p13.2,arrestin beta 2,protein-coding
345,410,ARSA,ASA|MLD,MIM:607574|HGNC:HGNC:713|Ensembl:ENSG00000100299,22,22q13.33,arylsulfatase A,protein-coding
346,411,ARSB,ASB|G4S|MPS6,MIM:611542|HGNC:HGNC:714|Ensembl:ENSG00000113273,5,5q14.1,arylsulfatase B,protein-coding
347,412,STS,ARSC|ARSC1|ASC|ES|SSDD|XLI,MIM:300747|HGNC:HGNC:11425|Ensembl:ENSG00000101846,X,Xp22.31,steroid sulfatase,protein-coding
350,415,ARSE,ASE|CDPX|CDPX1|CDPXR,MIM:300180|HGNC:HGNC:719|Ensembl:ENSG00000157399,X,Xp22.33,arylsulfatase E,protein-coding
351,416,ARSF,ASF,MIM:300003|HGNC:HGNC:721|Ensembl:ENSG00000062096,X,Xp22.33,arylsulfatase F,protein-coding
352,417,ART1,ART2|ARTC1|CD296|RT6,MIM:601625|HGNC:HGNC:723|Ensembl:ENSG00000129744,11,11p15.4,ADP-ribosyltransferase 1,protein-coding
354,419,ART3,ARTC3,MIM:603086|HGNC:HGNC:725|Ensembl:ENSG00000156219,4,4q21.1|4p15.1-p14,ADP-ribosyltransferase 3,protein-coding
355,420,ART4,ARTC4|CD297|DO|DO/ART4|DOK1,MIM:110600|HGNC:HGNC:726|Ensembl:ENSG00000111339,12,12p12.3,ADP-ribosyltransferase 4 (Dombrock blood group),protein-coding
356,421,ARVCF,-,MIM:602269|HGNC:HGNC:728|Ensembl:ENSG00000099889,22,22q11.21,ARVCF delta catenin family member,protein-coding
